      |        0       |
      | 76543210123456 |
  -20 |     SSS@SS     |
  -19 |     SSSSSS     |
  -18 |     SSSSSS     |
  -17 |     SSSSSS     |
  -16 | AAAAAAAAAAAAAA |
  -15 | AAAAAAAAAAAAAA |
  -14 | AAAAAAAAAAAAAA |
  -13 | AAAAAAAAAAAAAA |
  -12 | AA!AAAAAAAAAAA |
  -11 | AAAAAAAAAAAAAA |
  -10 | AAAAAAAAAAAAAA |
   -9 | BBBBBBBBBBBBBB |
   -8 | BBBBBBBBBBBBBB |
   -7 | BBBBBBBBBBBBBB |
   -6 | BBBBBBBBBBBBBB |
   -5 | BBBBBBBBBBBBBB |
   -4 | BBBBBBBBBBBBBB |
   -3 | ++++++++++++++ |
   -2 | ++++++++++++++ |
   -1 | ++++++++++++++ |
    0 | ++++++++++++++ |
    1 | ++++++++++++++ |
    2 | ++++++++++++++ |
    3 | BBBBBBBBBBBBBB |
    4 | BBBBBBBBBBBBBB |
    5 | BBBBBBBBBBBBBB |
    6 | BBBBBBBBBBBBBB |
    7 | BBBBBBBBBBBBBB |
    8 | BBBBBBBBBBBBBB |
    9 | AAAAAAAAAAAAAA |
   10 | AAAAAAAAAAAAAA |
   11 | AAAAAAAAAAA!AA |
   12 | AAAAAAAAAAAAAA |
   13 | AAAAAAAAAAAAAA |
   14 | AAAAAAAAAAAAAA |
   15 | AAAAAAAAAAAAAA |
   16 |     SSSSSS     |
   17 |     SSSSSS     |
   18 |     SSSSSS     |
   19 |     SSS@SS     |
      14 × 40 cells drawn  ·  14 × 40 cells = 56 × 160 blocks  ·  cell 4
      ! destroyable   @ spawn   A flat (piece)   B pasture (piece)   S fold (spawn)   
