## spawn-red -> red-0
ROUTE (16, 112) -> (-42, 88) aim travel: 75 blocks, 9 placed, 2 drop(s), worst drop 8
  place            y   step
  (16, 112)         23
  (16, 111)         23
  (16, 110)         23
  (16, 109)         23
  (16, 108)         23
  (16, 107)         23
  (15, 106)         23
  (14, 105)         23
  (13, 104)         23
  (12, 103)         23
  (11, 102)         23
  (10, 101)         23
  (9, 100)          23
  (8, 99)           22
  (7, 98)           22
  (6, 98)           22
  (5, 98)           21
  (4, 98)           21
  (3, 98)           21
  (2, 98)           21
  (1, 98)           21
  (0, 98)           21
  (-1, 98)          21
  (-2, 97)          21
  (-3, 96)          21
  (-4, 95)          21
  (-5, 94)          21
  (-6, 93)          20
  (-7, 92)          20
  (-8, 91)          20
  (-9, 90)          20
  (-10, 89)         20
  (-11, 88)         20
  (-12, 87)         20
  (-13, 86)         20
  (-14, 85)         20
  (-15, 84)         20
  (-16, 83)         20
  (-17, 83)         20
  (-18, 83)         20
  (-19, 83)         20
  (-20, 83)         24   barrier +4
  (-21, 83)         24
  (-22, 83)         20   drop -4
  (-23, 83)         20
  (-24, 83)         20
  (-25, 83)         20
  (-26, 83)         20
  (-27, 83)         20
  (-28, 83)         19
  (-29, 83)         19
  (-30, 83)         19
  (-31, 83)         19
  (-32, 83)         18
  (-33, 83)         18
  (-34, 83)         17
  (-35, 83)         17
  (-36, 83)         17
  (-37, 83)         17
  (-38, 84)         18
  (-39, 85)         25   barrier +7
  (-40, 86)         25
  (-41, 87)         17   drop -8
  (-42, 88)         17
rises 2, falls 2, worst step 8: barrier +4 at (-20, 83); drop -4 at (-22, 83); barrier +7 at (-39, 85); drop -8 at (-41, 87)
beside: spawn spawn-1 at (16, 109) d0, wool wool-1 at (-42, 88) d0

## spawn-red -> orange-0
ROUTE (16, 112) -> (60, 78) aim travel: 66 blocks, 9 placed, 2 drop(s), worst drop 8
  place            y   step
  (16, 112)         23
  (16, 111)         23
  (16, 110)         23
  (16, 109)         23
  (16, 108)         23
  (16, 107)         23
  (16, 106)         23
  (16, 105)         23
  (16, 104)         23
  (16, 103)         23
  (16, 102)         23
  (16, 101)         23
  (16, 100)         23
  (16, 99)          22
  (16, 98)          22
  (17, 97)          22
  (18, 96)          22
  (19, 95)          22
  (20, 94)          22
  (21, 93)          21
  (22, 92)          21
  (23, 91)          21
  (24, 90)          21
  (25, 89)          21
  (26, 88)          21
  (27, 87)          20
  (28, 86)          20
  (29, 85)          20
