## spawn-blue (spawn) along x
TRANSECT 33 stations from (-32, -124) to (0, -124), every 1
  station        ground  surface  water  top  standing            step
  (  -32,  -124)                                                    void
  (  -31,  -124)                                                    void
  (  -30,  -124)                                                    void
  (  -29,  -124)                                                    void
  (  -28,  -124)                                                    void
  (  -27,  -124)                                                    void
  (  -26,  -124)                                                    void
  (  -25,  -124)                                                    void
  (  -24,  -124)      23       23           23                      
  (  -23,  -124)      23       23           23                      
  (  -22,  -124)      23       23           23                      
  (  -21,  -124)      23       23           23                      
  (  -20,  -124)      23       23           23                      
  (  -19,  -124)      23       23           23                      
  (  -18,  -124)      23       23           23                      
  (  -17,  -124)      23       23           23                      
  (  -16,  -124)      23       23           23                      
  (  -15,  -124)      23       23           23                      
  (  -14,  -124)      23       23           23                      
  (  -13,  -124)      23       23           23                      
  (  -12,  -124)      23       23           23                      
  (  -11,  -124)      23       23           23                      
  (  -10,  -124)      23       23           23                      
  (   -9,  -124)      23       23           23                      
  (   -8,  -124)                                                    void
  (   -7,  -124)                                                    void
  (   -6,  -124)                                                    void
  (   -5,  -124)                                                    void
  (   -4,  -124)                                                    void
  (   -3,  -124)                                                    void
  (   -2,  -124)                                                    void
  (   -1,  -124)                                                    void
  (    0,  -124)                                                    void
rises 0, falls 0, worst step 0: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-23, -126), ironcube spawn-1:0#1 at (-21, -122)

## spawn-blue (spawn) along z
TRANSECT 25 stations from (-16, -132) to (-16, -108), every 1
  station        ground  surface  water  top  standing            step
  (  -16,  -132)      23       23           23                      
  (  -16,  -131)      23       23           31  spawn spawn-1#1     
  (  -16,  -130)      23       23           31  spawn spawn-1#1     
  (  -16,  -129)      23       23           23  spawn spawn-1#1     
  (  -16,  -128)      23       23           23  spawn spawn-1#1     
  (  -16,  -127)      23       23           23  spawn spawn-1#1     
  (  -16,  -126)      23       23           31  spawn spawn-1#1     
  (  -16,  -125)      23       23           31  spawn spawn-1#1     
  (  -16,  -124)      23       23           23                      
  (  -16,  -123)      23       23           23                      
  (  -16,  -122)      23       23           23                      
  (  -16,  -121)      23       23           23                      
  (  -16,  -120)      23       23           23                      
  (  -16,  -119)      23       23           23                      
  (  -16,  -118)      23       23           23                      
  (  -16,  -117)      23       23           23                      
  (  -16,  -116)      23       23           23                      
  (  -16,  -115)      23       23           23                      
  (  -16,  -114)      23       23           23                      
  (  -16,  -113)      23       23           23                      
  (  -16,  -112)      23       23           23                      
  (  -16,  -111)      23       23           23                      
  (  -16,  -110)      23       23           23                      
  (  -16,  -109)      23       23           23                      
  (  -16,  -108)      22       22           22                      -1
rises 0, falls 1, worst step 1: 0 barrier, 0 scramble, 0 drop | walked end to end
beside: spawn spawn-1#1 at (-18, -131)
