      |          0         |
      | 987654321012345678 |
  -20 |       SSSSSS       |
  -19 |       SSS@SS       |
  -18 |       SSSSSS       |
  -17 |       SSiSSS       |
  -16 |   CCCCCCCCCCCCCC   |
  -15 |   CCCCCCCCCCCCCC   |
  -14 |   CCCCCCCCCCCCCC   |
  -13 |   CCCCCCCCCCCCCC   |
  -12 | BBBBBBBBBBBOBBBBBB |
  -11 | BBBBBBBBBBBBBBBBBB |
  -10 | BBBBBBBBBBBBBBBBBB |
   -9 | BBBBBBBBBBBBBBBBBB |
   -8 | BBBBBBBBBBBBBBBBBB |
   -7 | AAAAAAAAAAAAAAAAAA |
   -6 | AAAAAAAAAAAAAAAAAA |
   -5 | AAAAAAAAAAAAAAAAAA |
   -4 | AAAAAAAAAAAAAAAAAA |
   -3 | AAAAAAAAAAAAAAAAAA |
   -2 | AAAAAAAAAAAAAAAAAA |
   -1 | AAAAAAAAAAAAAAAAAA |
    0 | AAAAAAAAAAAAAAAAAA |
    1 | AAAAAAAAAAAAAAAAAA |
    2 | AAAAAAAAAAAAAAAAAA |
    3 | AAAAAAAAAAAAAAAAAA |
    4 | AAAAAAAAAAAAAAAAAA |
    5 | AAAAAAAAAAAAAAAAAA |
    6 | AAAAAAAAAAAAAAAAAA |
    7 | BBBBBBBBBBBBBBBBBB |
    8 | BBBBBBBBBBBBBBBBBB |
    9 | BBBBBBBBBBBBBBBBBB |
   10 | BBBBBBBBBBBBBBBBBB |
   11 | BBBBBBOBBBBBBBBBBB |
   12 |   CCCCCCCCCCCCCC   |
   13 |   CCCCCCCCCCCCCC   |
   14 |   CCCCCCCCCCCCCC   |
   15 |   CCCCCCCCCCCCCC   |
   16 |       SSSiSS       |
   17 |       SSSSSS       |
   18 |       SSS@SS       |
   19 |       SSSSSS       |
      18 × 40 cells drawn  ·  18 × 40 cells = 90 × 200 blocks  ·  cell 5
      @ spawn   A nave (piece)   B fen (piece)   C court (piece)   O core   S frater (spawn)   
      i iron   
