      |      -2        -1         0         1         2      |
      | 6543210987654321098765432101234567890123456789012345 |
   -8 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
   -7 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
   -6 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
   -5 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
   -4 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
   -3 | SSSSSAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAASSSSS |
   -2 | SSSSSAAAAAAAAAAAAAAAAA++++++++AAAAAAAA!AAAAAAAASSSSS |
   -1 | SSSSSAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAASSSSS |
    0 | SS@SSAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAASS@SS |
    1 | SSSSSAAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAASSSSS |
    2 | SSSSSAAAAAAAA!AAAAAAAA++++++++AAAAAAAAAAAAAAAAASSSSS |
    3 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
    4 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
    5 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
    6 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
    7 |      AAAAAAAAAAAAAAAAA++++++++AAAAAAAAAAAAAAAAA      |
      52 × 16 cells drawn  ·  52 × 16 cells = 208 × 64 blocks  ·  cell 4
      ! destroyable   @ spawn   A field (piece)   S spawn (spawn)   
